Headline,URL
Skip to content,#main-content
British Broadcasting Corporation,/
Home,/
News,/news
Sport,/sport
Business,/business
Innovation,/innovation
Culture,/culture
Travel,/travel
Earth,/future-planet
Video,/video
Live,/live
Israel-Gaza War,/news/topics/c2vdnvdg6xxt
War in Ukraine,/news/war-in-ukraine
UK General Election,/news/topics/crggn4j2lm0t
US & Canada,/news/us-canada
UK,/news/uk
Africa,/news/world/africa
Asia,/news/world/asia
Australia,/news/world/australia
Europe,/news/world/europe
Latin America,/news/world/latin_america
Middle East,/news/world/middle_east
In Pictures,/news/in_pictures
BBC Verify,/news/reality_check
Home,/home
News,/news
Israel-Gaza War,/news/topics/c2vdnvdg6xxt
War in Ukraine,/news/war-in-ukraine
UK General Election,/news/topics/crggn4j2lm0t
US & Canada,/news/us-canada
UK,/news/uk
UK Politics,/news/politics
England,/news/england
N. Ireland,/news/northern_ireland
N. Ireland Politics,/news/northern_ireland/northern_ireland_politics
Scotland,/news/scotland
Scotland Politics,/news/scotland/scotland_politics
Wales,/news/wales
Wales Politics,/news/wales/wales_politics
Africa,/news/world/africa
Asia,/news/world/asia
China,/news/world/asia/china
India,/news/world/asia/india
Australia,/news/world/australia
Europe,/news/world/europe
Latin America,/news/world/latin_america
Middle East,/news/world/middle_east
In Pictures,/news/in_pictures
BBC Verify,/news/reality_check
Sport,/sport
Business,/business
Future of Business,/business/future-of-business
Technology of Business,/business/technology-of-business
Work Culture,/business/c-suite
Innovation,/innovation
Technology,/innovation/technology
Science & Health,/innovation/science
Artificial Intelligence,/innovation/artificial-intelligence
Culture,/culture
Film & TV,/culture/film-tv
Music,/culture/music
Art & Design,/culture/art
Style,/culture/style
Books,/culture/books
Entertainment News,/culture/entertainment-news
Travel,/travel
Destinations,/travel/destinations
Africa,/travel/destinations/africa
Antarctica,/travel/destinations/antarctica
Asia,/travel/destinations/asia
Australia and Pacific,/travel/destinations/australia-and-pacific
Caribbean & Bermuda,/travel/destinations/caribbean
Central America,/travel/destinations/central-america
Europe,/travel/destinations/europe
Middle East,/travel/destinations/middle-east
North America,/travel/destinations/north-america
South America,/travel/destinations/south-america
World’s Table,/travel/worlds-table
Culture & Experiences,/travel/cultural-experiences
Adventures,/travel/adventures
The SpeciaList,/travel/specialist
Earth,/future-planet
Natural Wonders,/future-planet/natural-wonders
Weather & Science,/future-planet/weather-science
Climate Solutions,/future-planet/solutions
Sustainable Business,/future-planet/sustainable-business
Green Living,/future-planet/green-living
Video,/video
Live,/live
Live News,/live/news
Live Sport,/live/sport
Home,/
Sport,/sport
Video,/video
Audio,https://www.bbc.co.uk/sounds
Weather,https://www.bbc.com/weather
Newsletters,https://www.bbc.com/newsletters
Danish PM attacked by man in CopenhagenThe assault took place on a square in central Copenhagen where a man walked up to her and hit her.3 hrs agoEurope,/news/articles/cv22k0rkl99o
Danish PM attacked by man in Copenhagen,
"I married the love of my life in a Ukrainian bunker. Two days later he was killedAs Russia relentlessly shelled Mariupol in 2022, a romance was blooming several metres below.1 hr agoEurope",/news/articles/cv220gq7p31o
I married the love of my life in a Ukrainian bunker. Two days later he was killed,
"Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this yearFour of the Supreme Court justices revealed book deals were part of their earnings in 2023. 4 hrs agoUS & Canada",/news/articles/c4nnpd7jng9o
"Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this year",
Crossbows and eerie silences – following Antarctic whales for climate change cluesHow scientists are discovering secrets of Antarctic climate change in the bodies of giant humpback whales. 1 hr agoClimate,/news/articles/cj770nrx0x9o
Crossbows and eerie silences – following Antarctic whales for climate change clues,
UK minister says PM Rishi Sunak leaving D-Day event was 'wrong'Penny Mordaunt said it was right that Mr Sunak apologised not only to veterans but to the public.5 hrs agoPolitics,/news/articles/cg33x0907nro
UK minister says PM Rishi Sunak leaving D-Day event was 'wrong',
"I married the love of my life in a Ukrainian bunker. Two days later he was killedAs Russia relentlessly shelled Mariupol in 2022, a romance was blooming several metres below.1 hr agoEurope",/news/articles/cv220gq7p31o
I married the love of my life in a Ukrainian bunker. Two days later he was killed,
Biden apologises for delay in Ukraine military aidThe US president also made a speech defending democracy at the site where US rangers stormed a Nazi stronghold on D-Day.9 hrs agoWorld,/news/articles/cv22kz2102ro
Biden apologises for delay in Ukraine military aid,
"UN adds Israel to list of militaries committing violations against childrenIsraeli officials say the move is ""shameful"" and will ""have consequences for Israel's relations with the UN"".6 hrs agoMiddle East",/news/articles/c8883ndp2lko
UN adds Israel to list of militaries committing violations against children,
"Giorgia Meloni gets personal as Italy votes in EU pollThe prime minister has been enjoying steady poll ratings since 2022, as her close allies lose support.2 hrs agoEurope",/news/articles/cydd8l25l7eo
Giorgia Meloni gets personal as Italy votes in EU poll,
"Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this yearFour of the Supreme Court justices revealed book deals were part of their earnings in 2023. 4 hrs agoUS & Canada",/news/articles/c4nnpd7jng9o
"Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this year",
Brazil to ask Argentina to extradite alleged rioters29 mins agoLatin America,/news/articles/c2vv504qj13o
Brazil to ask Argentina to extradite alleged rioters,
CCTV appears to show TV presenter Mosley after leaving beach9 hrs agoUK,/news/articles/cl552xdq79do
CCTV appears to show TV presenter Mosley after leaving beach,
UN confirms 11 staff detained by Houthis in Yemen6 hrs agoMiddle East,/news/articles/cgxxlgevevwo
UN confirms 11 staff detained by Houthis in Yemen,
Trump judge flags social post claiming verdict knowledge48 mins agoUS & Canada,/news/articles/clkk4y93ypvo
Trump judge flags social post claiming verdict knowledge,
Hunter Biden's daughter gives surprise testimony at trial7 hrs agoUS & Canada,/news/articles/cxeel4r91d2o
Hunter Biden's daughter gives surprise testimony at trial,
Features and analysis,
'I'm not actually looking for a man in finance'Megan Boni's 'Looking for a man in finance' TikTok has been viewed millions of times.1 hr ago,/news/articles/c4nn503jz81o
'I'm not actually looking for a man in finance',
The far right could make big gains in EU elections. What would that mean?Far right parties are forecast to win up to a quarter of European Parliament seats. What would that mean?1 hr agoBBC InDepth,/news/articles/cv22vne9x03o
The far right could make big gains in EU elections. What would that mean?,
"The rise and rise of fashion giant SheinThe retailer could be heading for London's stock market, but its rise has not come without controversy.4 hrs agoBusiness",/news/articles/cp991n2v0m2o
The rise and rise of fashion giant Shein,
Why Kenya's president wants people to love the taxmanPresident Ruto says Kenyans pay less tax than citizens in some other African countries.1 hr agoAfrica,/news/articles/ck552nlg71lo
Why Kenya's president wants people to love the taxman,
Week in pictures: 1 -7 June 2024 A selection of striking news photographs taken around the world this week.1 hr agoIn Pictures,/news/articles/ckkk4xd6gy9o
Week in pictures: 1 -7 June 2024,
The far right could make big gains in EU elections. What would that mean?Far right parties are forecast to win up to a quarter of European Parliament seats. What would that mean?1 hr agoBBC InDepth,/news/articles/cv22vne9x03o
The far right could make big gains in EU elections. What would that mean?,
1984: How did the Isle of Jura help shape Orwell's masterpiece?Orwell's celebrated novel is celebrating 75 years in print but its message is as important as ever.4 hrs agoScotland,/news/articles/cyrrylklzjdo
1984: How did the Isle of Jura help shape Orwell's masterpiece?,
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBCWitnesses tell the BBC the Myanmar army tortured and killed dozens of men in a village in Rakhine State.2 days agoAsia",/news/articles/ckmm6jep6l7o
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBC",
"The rise and rise of fashion giant SheinThe retailer could be heading for London's stock market, but its rise has not come without controversy.4 hrs agoBusiness",/news/articles/cp991n2v0m2o
The rise and rise of fashion giant Shein,
Most watched,
1On the coastal path near where Michael Mosley was last seen,/news/videos/cv22dz0w7k2o
On the coastal path near where Michael Mosley was last seen,
2What are Joro spiders and should you be scared of them?,/news/videos/crggmy00k4do
What are Joro spiders and should you be scared of them?,
"3Choking during sex led to real violence, woman says",/news/videos/cevvn1dpgvzo
"Choking during sex led to real violence, woman says",
4'Wanna feed the giraffe?' Moment toddler grabbed from truck,/news/videos/cl44z1ne6e1o
'Wanna feed the giraffe?' Moment toddler grabbed from truck,
"5D-Day, taxes and the NHS: Moments from the BBC debate",/news/videos/clww9y91yxjo
"D-Day, taxes and the NHS: Moments from the BBC debate",
Also in news,
"The part-time heroes behind US cricket's historic winThe huge win could help cricket carve out a piece of the largest sport market in the world, America.5 hrs agoWorld",/news/articles/c511lz5jw9go
The part-time heroes behind US cricket's historic win,
